Wallet loaded: EpG25pVadj
🟢 ATLAS Multi-Position Monitor v5 - WITH CONFIRMATION WINDOW
10:43:34 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:43:34 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:43:34 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:43:34 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:43:50 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:43:50 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:43:50 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:43:50 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:44:05 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:44:05 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:44:05 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:44:05 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:44:20 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:44:20 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:44:20 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:44:20 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:44:35 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:44:35 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:44:35 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:44:35 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:44:51 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:44:51 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:44:51 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:44:51 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:45:06 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:45:06 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:45:06 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:45:06 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:45:21 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:45:21 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:45:21 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:45:21 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:45:36 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:45:36 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:45:36 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:45:36 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:45:51 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:45:51 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:45:51 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:45:51 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:46:06 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:46:06 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:46:06 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:46:06 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:46:22 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:46:22 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:46:22 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:46:22 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:46:37 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:46:37 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:46:37 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:46:37 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:46:52 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
