Wallet loaded: EpG25pVadjQ9M9NHJMXZ...
📊 Monitoring awi (DYNAMIC TP/SL v2 - 5s interval)...
  Entry: $0.00045020
  Initial SL: $0.00044120
  Initial TP1: $0.00046821
  Initial TP2: $0.00047721
  Max Hold: 15 min (0.3 hours)
  Trailing: ENABLED (activates at +5%)
11:30:12 PM | awi: $0.00045020 | PnL: 0.00% | Momentum: neutral | SL: $0.000441
11:30:17 PM | awi: $0.00045020 | PnL: 0.00% | Momentum: neutral | SL: $0.000441
11:30:22 PM | awi: $0.00045020 | PnL: 0.00% | Momentum: neutral | SL: $0.000441
11:30:27 PM | awi: $0.00045020 | PnL: 0.00% | Momentum: neutral | SL: $0.000441
11:30:32 PM | awi: $0.00045020 | PnL: 0.00% | Momentum: neutral | SL: $0.000441
11:30:37 PM | awi: $0.00045020 | PnL: 0.00% | Momentum: neutral | SL: $0.000441
11:30:42 PM | awi: $0.00045020 | PnL: 0.00% | Momentum: neutral | SL: $0.000441
11:30:47 PM | awi: $0.00045020 | PnL: 0.00% | Momentum: neutral | SL: $0.000441
11:30:53 PM | awi: $0.00045020 | PnL: 0.00% | Momentum: neutral | SL: $0.000441
11:30:58 PM | awi: $0.00045020 | PnL: 0.00% | Momentum: neutral | SL: $0.000441
11:31:03 PM | awi: $0.00045020 | PnL: 0.00% | Momentum: neutral | SL: $0.000441
11:31:08 PM | awi: $0.00045020 | PnL: 0.00% | Momentum: neutral | SL: $0.000441
11:31:13 PM | awi: $0.00044970 | PnL: -0.11% | Momentum: neutral | SL: $0.000441
11:31:18 PM | awi: $0.00044970 | PnL: -0.11% | Momentum: neutral | SL: $0.000441
11:31:23 PM | awi: $0.00044970 | PnL: -0.11% | Momentum: neutral | SL: $0.000441
11:31:29 PM | awi: $0.00044970 | PnL: -0.11% | Momentum: neutral | SL: $0.000441
11:31:34 PM | awi: $0.00044970 | PnL: -0.11% | Momentum: neutral | SL: $0.000441
11:31:39 PM | awi: $0.00044970 | PnL: -0.11% | Momentum: neutral | SL: $0.000441
11:31:44 PM | awi: $0.00044970 | PnL: -0.11% | Momentum: neutral | SL: $0.000441
11:31:49 PM | awi: $0.00044970 | PnL: -0.11% | Momentum: neutral | SL: $0.000441
