Wallet loaded: EpG25pVadjQ9M9NHJMXZ...
📊 Monitoring Bonk (DYNAMIC TP/SL)...
  SL: $0.00000578
  TP1: $0.00000632 (50% exit)
  TP2: $0.00000654 (final exit)
  Max Hold: 180 min
4:55:11 PM | Bonk: $0.00000615 | PnL: 0.00% | Hold: 179m left
4:55:16 PM | Bonk: $0.00000615 | PnL: 0.00% | Hold: 179m left
4:55:22 PM | Bonk: $0.00000615 | PnL: 0.00% | Hold: 179m left
4:55:27 PM | Bonk: $0.00000615 | PnL: 0.00% | Hold: 179m left
4:55:32 PM | Bonk: $0.00000615 | PnL: 0.00% | Hold: 179m left
4:55:37 PM | Bonk: $0.00000615 | PnL: 0.00% | Hold: 179m left
4:55:42 PM | Bonk: $0.00000615 | PnL: 0.00% | Hold: 179m left
4:55:47 PM | Bonk: $0.00000615 | PnL: 0.00% | Hold: 179m left
4:55:52 PM | Bonk: $0.00000615 | PnL: +0.02% | Hold: 179m left
4:55:57 PM | Bonk: $0.00000615 | PnL: +0.02% | Hold: 179m left
4:56:02 PM | Bonk: $0.00000615 | PnL: +0.02% | Hold: 179m left
4:56:08 PM | Bonk: $0.00000615 | PnL: +0.02% | Hold: 179m left
4:56:13 PM | Bonk: $0.00000615 | PnL: +0.02% | Hold: 178m left
4:56:18 PM | Bonk: $0.00000615 | PnL: +0.02% | Hold: 178m left
4:56:23 PM | Bonk: $0.00000616 | PnL: +0.13% | Hold: 178m left
4:56:28 PM | Bonk: $0.00000616 | PnL: +0.13% | Hold: 178m left
4:56:33 PM | Bonk: $0.00000616 | PnL: +0.13% | Hold: 178m left
4:56:38 PM | Bonk: $0.00000616 | PnL: +0.13% | Hold: 178m left
4:56:43 PM | Bonk: $0.00000616 | PnL: +0.13% | Hold: 178m left
4:56:48 PM | Bonk: $0.00000616 | PnL: +0.13% | Hold: 178m left
4:56:54 PM | Bonk: $0.00000616 | PnL: +0.05% | Hold: 178m left
4:56:59 PM | Bonk: $0.00000616 | PnL: +0.05% | Hold: 178m left
4:57:04 PM | Bonk: $0.00000616 | PnL: +0.05% | Hold: 178m left
4:57:09 PM | Bonk: $0.00000616 | PnL: +0.05% | Hold: 178m left
4:57:14 PM | Bonk: $0.00000616 | PnL: +0.05% | Hold: 177m left
4:57:19 PM | Bonk: $0.00000616 | PnL: +0.05% | Hold: 177m left
4:57:24 PM | Bonk: $0.00000616 | PnL: +0.05% | Hold: 177m left
4:57:29 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 177m left
4:57:35 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 177m left
4:57:40 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 177m left
4:57:45 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 177m left
4:57:50 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 177m left
4:57:55 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 177m left
4:58:00 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 177m left
4:58:05 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 177m left
4:58:10 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 177m left
4:58:16 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 176m left
4:58:21 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 176m left
4:58:26 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 176m left
4:58:31 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 176m left
4:58:36 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 176m left
4:58:41 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 176m left
4:58:46 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 176m left
4:58:51 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 176m left
4:58:56 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 176m left
4:59:02 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 176m left
4:59:07 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 176m left
4:59:12 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 175m left
4:59:17 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 175m left
4:59:22 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 175m left
4:59:27 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 175m left
4:59:32 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 175m left
4:59:37 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 175m left
4:59:42 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 175m left
4:59:48 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 175m left
4:59:53 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 175m left
4:59:58 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 175m left
5:00:03 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 175m left
5:00:08 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 175m left
5:00:13 PM | Bonk: $0.00000616 | PnL: +0.18% | Hold: 174m left
