Wallet loaded: EpG25pVadjQ9M9NHJMXZ...
📊 Monitoring COPE (DYNAMIC TP/SL)...
  SL: $0.00177195
  TP1: $0.00193636 (50% exit)
  TP2: $0.00200409 (final exit)
  Max Hold: 180 min
11:45:10 PM | COPE: $0.00188500 | PnL: 0.00% | Hold: 179m left
11:45:16 PM | COPE: $0.00188500 | PnL: 0.00% | Hold: 179m left
11:45:21 PM | COPE: $0.00188500 | PnL: 0.00% | Hold: 179m left
11:45:26 PM | COPE: $0.00188500 | PnL: 0.00% | Hold: 179m left
11:45:31 PM | COPE: $0.00188500 | PnL: 0.00% | Hold: 179m left
11:45:36 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 179m left
11:45:41 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 179m left
11:45:46 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 179m left
11:45:51 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 179m left
11:45:56 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 179m left
11:46:02 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 179m left
11:46:08 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 179m left
11:46:13 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 178m left
11:46:18 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 178m left
11:46:23 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 178m left
11:46:28 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 178m left
11:46:33 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 178m left
11:46:38 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 178m left
11:46:44 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 178m left
11:46:49 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 178m left
11:46:54 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 178m left
11:46:59 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 178m left
11:47:04 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 178m left
11:47:09 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 178m left
11:47:14 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 177m left
11:47:20 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 177m left
11:47:25 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 177m left
11:47:30 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 177m left
11:47:35 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 177m left
11:47:40 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 177m left
11:47:46 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 177m left
11:47:52 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 177m left
11:47:57 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 177m left
11:48:02 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 177m left
11:48:07 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 177m left
11:48:12 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 176m left
11:48:17 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 176m left
11:48:22 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 176m left
11:48:28 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 176m left
11:48:33 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 176m left
11:48:38 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 176m left
11:48:43 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 176m left
11:48:48 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 176m left
11:48:54 PM | COPE: $0.00188600 | PnL: +0.05% | Hold: 176m left
