bigint: Failed to load bindings, pure JS will be used (try npm run rebuild?)

🎯 DEXSCREENER ADS SNIPER v2
📍 EKbhgJrxCL93cBkENoS7vPeRQiSWoNgdW1oPv1sGQZrX
💰 0.0994 SOL

⚙️ MODE: LIVE TRADING

📊 Monitoring:
- Twitter: @dexscreener_com
- Wallet: NOT SET (Twitter-only mode)

🎯 Strategy:
- Entry: 0.01 SOL per signal
- Target: +30%
- Stop: -15%
- Max hold: 2 hours

Starting monitors...

[2026-02-10T19:10:45.757Z] Twitter: No new mentions
[2026-02-10T19:11:16.287Z] Twitter: No new mentions
[2026-02-10T19:11:46.819Z] Twitter: No new mentions
[2026-02-10T19:12:17.347Z] Twitter: No new mentions
[2026-02-10T19:12:47.862Z] Twitter: No new mentions
[2026-02-10T19:13:18.379Z] Twitter: No new mentions
[2026-02-10T19:13:48.913Z] Twitter: No new mentions
[2026-02-10T19:14:19.448Z] Twitter: No new mentions
[2026-02-10T19:14:49.978Z] Twitter: No new mentions
[2026-02-10T19:15:20.512Z] Twitter: No new mentions
[2026-02-10T19:15:51.042Z] Twitter: No new mentions
[2026-02-10T19:16:21.568Z] Twitter: No new mentions
[2026-02-10T19:16:52.086Z] Twitter: No new mentions
[2026-02-10T19:17:22.598Z] Twitter: No new mentions
[2026-02-10T19:17:53.127Z] Twitter: No new mentions
[2026-02-10T19:18:23.643Z] Twitter: No new mentions
[2026-02-10T19:18:54.175Z] Twitter: No new mentions
[2026-02-10T19:19:24.706Z] Twitter: No new mentions
[2026-02-10T19:19:55.225Z] Twitter: No new mentions
[2026-02-10T19:20:25.756Z] Twitter: No new mentions
[2026-02-10T19:20:56.281Z] Twitter: No new mentions
[2026-02-10T19:21:26.810Z] Twitter: No new mentions
[2026-02-10T19:21:57.338Z] Twitter: No new mentions
[2026-02-10T19:22:27.850Z] Twitter: No new mentions
[2026-02-10T19:22:58.375Z] Twitter: No new mentions
[2026-02-10T19:23:28.902Z] Twitter: No new mentions
[2026-02-10T19:23:59.429Z] Twitter: No new mentions
[2026-02-10T19:24:29.959Z] Twitter: No new mentions
[2026-02-10T19:25:00.472Z] Twitter: No new mentions
[2026-02-10T19:25:30.994Z] Twitter: No new mentions
[2026-02-10T19:26:01.524Z] Twitter: No new mentions
[2026-02-10T19:26:32.039Z] Twitter: No new mentions
[2026-02-10T19:27:02.567Z] Twitter: No new mentions
[2026-02-10T19:27:33.096Z] Twitter: No new mentions
[2026-02-10T19:28:03.624Z] Twitter: No new mentions
[2026-02-10T19:28:34.153Z] Twitter: No new mentions
[2026-02-10T19:29:04.669Z] Twitter: No new mentions
[2026-02-10T19:29:35.193Z] Twitter: No new mentions
[2026-02-10T19:30:05.723Z] Twitter: No new mentions
[2026-02-10T19:30:36.235Z] Twitter: No new mentions
[2026-02-10T19:31:06.765Z] Twitter: No new mentions
[2026-02-10T19:31:37.295Z] Twitter: No new mentions
[2026-02-10T19:32:07.822Z] Twitter: No new mentions
[2026-02-10T19:32:38.353Z] Twitter: No new mentions
[2026-02-10T19:33:08.871Z] Twitter: No new mentions
[2026-02-10T19:33:39.402Z] Twitter: No new mentions
[2026-02-10T19:34:09.932Z] Twitter: No new mentions
[2026-02-10T19:34:40.454Z] Twitter: No new mentions
[2026-02-10T19:35:10.982Z] Twitter: No new mentions
[2026-02-10T19:35:41.511Z] Twitter: No new mentions
[2026-02-10T19:36:12.041Z] Twitter: No new mentions
[2026-02-10T19:36:42.572Z] Twitter: No new mentions
[2026-02-10T19:37:13.084Z] Twitter: No new mentions
[2026-02-10T19:37:43.599Z] Twitter: No new mentions
[2026-02-10T19:38:14.119Z] Twitter: No new mentions
[2026-02-10T19:38:44.649Z] Twitter: No new mentions
