Wallet loaded: EpG25pVadjQ9M9NHJMXZ...
📊 Monitoring mSOL (DYNAMIC TP/SL v2 - 5s interval)...
  Entry: $115.48000000
  Initial SL: $113.63232000
  Initial TP1: $119.63728000
  Initial TP2: $121.71592000
  Max Hold: 15 min (0.3 hours)
  Trailing: ENABLED (activates at +5%)
5:27:04 PM | mSOL: $115.48000000 | PnL: 0.00% | Momentum: neutral | SL: $113.632320
5:27:09 PM | mSOL: $115.48000000 | PnL: 0.00% | Momentum: neutral | SL: $113.632320
5:27:14 PM | mSOL: $115.48000000 | PnL: 0.00% | Momentum: neutral | SL: $113.632320
5:27:19 PM | mSOL: $115.48000000 | PnL: 0.00% | Momentum: neutral | SL: $113.632320
5:27:24 PM | mSOL: $115.48000000 | PnL: 0.00% | Momentum: neutral | SL: $113.632320
5:27:29 PM | mSOL: $115.48000000 | PnL: 0.00% | Momentum: neutral | SL: $113.632320
5:27:35 PM | mSOL: $115.48000000 | PnL: 0.00% | Momentum: neutral | SL: $113.632320
5:27:40 PM | mSOL: $115.48000000 | PnL: 0.00% | Momentum: neutral | SL: $113.632320
5:27:45 PM | mSOL: $115.48000000 | PnL: 0.00% | Momentum: neutral | SL: $113.632320
5:27:50 PM | mSOL: $115.48000000 | PnL: 0.00% | Momentum: neutral | SL: $113.632320
5:27:55 PM | mSOL: $115.48000000 | PnL: 0.00% | Momentum: neutral | SL: $113.632320
5:28:01 PM | mSOL: $115.48000000 | PnL: 0.00% | Momentum: neutral | SL: $113.632320
5:28:06 PM | mSOL: $115.47000000 | PnL: -0.01% | Momentum: neutral | SL: $113.632320
5:28:11 PM | mSOL: $115.47000000 | PnL: -0.01% | Momentum: neutral | SL: $113.632320
5:28:16 PM | mSOL: $115.47000000 | PnL: -0.01% | Momentum: neutral | SL: $113.632320
5:28:21 PM | mSOL: $115.47000000 | PnL: -0.01% | Momentum: neutral | SL: $113.632320
5:28:26 PM | mSOL: $115.47000000 | PnL: -0.01% | Momentum: neutral | SL: $113.632320
5:28:32 PM | mSOL: $115.47000000 | PnL: -0.01% | Momentum: neutral | SL: $113.632320
5:28:37 PM | mSOL: $115.47000000 | PnL: -0.01% | Momentum: neutral | SL: $113.632320
5:28:42 PM | mSOL: $115.47000000 | PnL: -0.01% | Momentum: neutral | SL: $113.632320
5:28:47 PM | mSOL: $115.47000000 | PnL: -0.01% | Momentum: neutral | SL: $113.632320
5:28:52 PM | mSOL: $115.47000000 | PnL: -0.01% | Momentum: neutral | SL: $113.632320
5:28:57 PM | mSOL: $115.47000000 | PnL: -0.01% | Momentum: neutral | SL: $113.632320
5:29:02 PM | mSOL: $115.47000000 | PnL: -0.01% | Momentum: neutral | SL: $113.632320
5:29:07 PM | mSOL: $115.47000000 | PnL: -0.01% | Momentum: neutral | SL: $113.632320
5:29:12 PM | mSOL: $115.47000000 | PnL: -0.01% | Momentum: neutral | SL: $113.632320
5:29:18 PM | mSOL: $115.60000000 | PnL: +0.10% | Momentum: neutral | SL: $113.632320
5:29:23 PM | mSOL: $115.60000000 | PnL: +0.10% | Momentum: neutral | SL: $113.632320
5:29:28 PM | mSOL: $115.60000000 | PnL: +0.10% | Momentum: neutral | SL: $113.632320
5:29:33 PM | mSOL: $115.60000000 | PnL: +0.10% | Momentum: neutral | SL: $113.632320
5:29:38 PM | mSOL: $115.60000000 | PnL: +0.10% | Momentum: neutral | SL: $113.632320
5:29:43 PM | mSOL: $115.60000000 | PnL: +0.10% | Momentum: neutral | SL: $113.632320
5:29:48 PM | mSOL: $115.60000000 | PnL: +0.10% | Momentum: neutral | SL: $113.632320
5:29:53 PM | mSOL: $115.60000000 | PnL: +0.10% | Momentum: neutral | SL: $113.632320
5:29:59 PM | mSOL: $115.61000000 | PnL: +0.11% | Momentum: neutral | SL: $113.632320
5:30:04 PM | mSOL: $115.61000000 | PnL: +0.11% | Momentum: neutral | SL: $113.632320
5:30:09 PM | mSOL: $115.61000000 | PnL: +0.11% | Momentum: neutral | SL: $113.632320
5:30:14 PM | mSOL: $115.61000000 | PnL: +0.11% | Momentum: neutral | SL: $113.632320
5:30:19 PM | mSOL: $115.61000000 | PnL: +0.11% | Momentum: neutral | SL: $113.632320
5:30:24 PM | mSOL: $115.61000000 | PnL: +0.11% | Momentum: neutral | SL: $113.632320
5:30:29 PM | mSOL: $115.61000000 | PnL: +0.11% | Momentum: neutral | SL: $113.632320
5:30:34 PM | mSOL: $115.61000000 | PnL: +0.11% | Momentum: neutral | SL: $113.632320
5:30:40 PM | mSOL: $115.61000000 | PnL: +0.11% | Momentum: neutral | SL: $113.632320
5:30:45 PM | mSOL: $115.61000000 | PnL: +0.11% | Momentum: neutral | SL: $113.632320
5:30:50 PM | mSOL: $115.61000000 | PnL: +0.11% | Momentum: neutral | SL: $113.632320
5:30:55 PM | mSOL: $115.61000000 | PnL: +0.11% | Momentum: neutral | SL: $113.632320
5:31:00 PM | mSOL: $115.61000000 | PnL: +0.11% | Momentum: neutral | SL: $113.632320
5:31:06 PM | mSOL: $115.61000000 | PnL: +0.11% | Momentum: neutral | SL: $113.632320
5:31:11 PM | mSOL: $115.61000000 | PnL: +0.11% | Momentum: neutral | SL: $113.632320
5:31:17 PM | mSOL: $115.61000000 | PnL: +0.11% | Momentum: neutral | SL: $113.632320
5:31:22 PM | mSOL: $115.61000000 | PnL: +0.11% | Momentum: neutral | SL: $113.632320
5:31:27 PM | mSOL: $115.61000000 | PnL: +0.11% | Momentum: neutral | SL: $113.632320
5:31:32 PM | mSOL: $115.61000000 | PnL: +0.11% | Momentum: neutral | SL: $113.632320
5:31:37 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
5:31:42 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
5:31:47 PM | mSOL: $115.61000000 | PnL: +0.11% | Momentum: neutral | SL: $113.632320
5:31:52 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
5:31:57 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
5:32:02 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
5:32:07 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
5:32:13 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
5:32:18 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
5:32:23 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
5:32:28 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
5:32:33 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
5:32:39 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
5:32:44 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
5:32:49 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
5:32:54 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
5:32:59 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
5:33:05 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
5:33:10 PM | mSOL: $115.55000000 | PnL: +0.06% | Momentum: neutral | SL: $113.632320
