Wallet loaded: EpG25pVadjQ9M9NHJMXZ...
📊 Monitoring Punch (DYNAMIC TP/SL v2 - 5s interval)...
  Entry: $0.00997600
  Initial SL: $0.00981638
  Initial TP1: $0.01033514
  Initial TP2: $0.01051470
  Max Hold: 15 min (0.3 hours)
  Trailing: ENABLED (activates at +5%)
5:27:28 PM | Punch: $0.00997600 | PnL: 0.00% | Momentum: neutral | SL: $0.009816
5:27:33 PM | Punch: $0.00997600 | PnL: 0.00% | Momentum: neutral | SL: $0.009816
5:27:38 PM | Punch: $0.00997600 | PnL: 0.00% | Momentum: neutral | SL: $0.009816
5:27:43 PM | Punch: $0.00997600 | PnL: 0.00% | Momentum: neutral | SL: $0.009816
5:27:48 PM | Punch: $0.00997600 | PnL: 0.00% | Momentum: neutral | SL: $0.009816
5:27:53 PM | Punch: $0.00997600 | PnL: 0.00% | Momentum: neutral | SL: $0.009816
5:27:58 PM | Punch: $0.00997600 | PnL: 0.00% | Momentum: neutral | SL: $0.009816
5:28:03 PM | Punch: $0.01006000 | PnL: +0.84% | Momentum: neutral | SL: $0.009816
5:28:09 PM | Punch: $0.01006000 | PnL: +0.84% | Momentum: neutral | SL: $0.009816
5:28:14 PM | Punch: $0.01006000 | PnL: +0.84% | Momentum: neutral | SL: $0.009816
5:28:19 PM | Punch: $0.01006000 | PnL: +0.84% | Momentum: neutral | SL: $0.009816
5:28:24 PM | Punch: $0.01006000 | PnL: +0.84% | Momentum: neutral | SL: $0.009816
5:28:29 PM | Punch: $0.01006000 | PnL: +0.84% | Momentum: neutral | SL: $0.009816
5:28:34 PM | Punch: $0.01001000 | PnL: +0.34% | Momentum: neutral | SL: $0.009816
5:28:39 PM | Punch: $0.01006000 | PnL: +0.84% | Momentum: neutral | SL: $0.009816
5:28:44 PM | Punch: $0.01001000 | PnL: +0.34% | Momentum: neutral | SL: $0.009816
5:28:49 PM | Punch: $0.01001000 | PnL: +0.34% | Momentum: neutral | SL: $0.009816
5:28:54 PM | Punch: $0.01001000 | PnL: +0.34% | Momentum: neutral | SL: $0.009816
5:28:59 PM | Punch: $0.01001000 | PnL: +0.34% | Momentum: neutral | SL: $0.009816
5:29:04 PM | Punch: $0.01001000 | PnL: +0.34% | Momentum: neutral | SL: $0.009816
5:29:09 PM | Punch: $0.01001000 | PnL: +0.34% | Momentum: neutral | SL: $0.009816
5:29:14 PM | Punch: $0.01001000 | PnL: +0.34% | Momentum: neutral | SL: $0.009816
5:29:19 PM | Punch: $0.01001000 | PnL: +0.34% | Momentum: neutral | SL: $0.009816
5:29:24 PM | Punch: $0.01001000 | PnL: +0.34% | Momentum: neutral | SL: $0.009816
5:29:30 PM | Punch: $0.01002000 | PnL: +0.44% | Momentum: neutral | SL: $0.009816
5:29:35 PM | Punch: $0.01001000 | PnL: +0.34% | Momentum: neutral | SL: $0.009816
5:29:40 PM | Punch: $0.01001000 | PnL: +0.34% | Momentum: neutral | SL: $0.009816
5:29:45 PM | Punch: $0.01001000 | PnL: +0.34% | Momentum: neutral | SL: $0.009816
5:29:50 PM | Punch: $0.01001000 | PnL: +0.34% | Momentum: neutral | SL: $0.009816
5:29:55 PM | Punch: $0.01002000 | PnL: +0.44% | Momentum: neutral | SL: $0.009816
5:30:00 PM | Punch: $0.01002000 | PnL: +0.44% | Momentum: neutral | SL: $0.009816
