Wallet loaded: EpG25pVadjQ9M9NHJMXZ...
📊 Monitoring RAY (DYNAMIC TP/SL)...
  SL: $0.61928979
  TP1: $0.67674966 (50% exit)
  TP2: $0.70042313 (final exit)
  Max Hold: 180 min
3:30:09 PM | RAY: $0.65880000 | PnL: 0.00% | Hold: 179m left
3:30:14 PM | RAY: $0.65880000 | PnL: 0.00% | Hold: 179m left
3:30:19 PM | RAY: $0.65880000 | PnL: 0.00% | Hold: 179m left
3:30:24 PM | RAY: $0.65770000 | PnL: -0.17% | Hold: 179m left
3:30:29 PM | RAY: $0.65770000 | PnL: -0.17% | Hold: 179m left
3:30:34 PM | RAY: $0.65770000 | PnL: -0.17% | Hold: 179m left
3:30:39 PM | RAY: $0.65770000 | PnL: -0.17% | Hold: 179m left
3:30:44 PM | RAY: $0.65770000 | PnL: -0.17% | Hold: 179m left
3:30:49 PM | RAY: $0.65770000 | PnL: -0.17% | Hold: 179m left
3:30:54 PM | RAY: $0.65760000 | PnL: -0.18% | Hold: 179m left
3:31:00 PM | RAY: $0.65760000 | PnL: -0.18% | Hold: 179m left
3:31:05 PM | RAY: $0.65760000 | PnL: -0.18% | Hold: 179m left
3:31:10 PM | RAY: $0.65760000 | PnL: -0.18% | Hold: 178m left
3:31:15 PM | RAY: $0.65760000 | PnL: -0.18% | Hold: 178m left
3:31:20 PM | RAY: $0.65760000 | PnL: -0.18% | Hold: 178m left
3:31:25 PM | RAY: $0.65720000 | PnL: -0.24% | Hold: 178m left
3:31:30 PM | RAY: $0.65720000 | PnL: -0.24% | Hold: 178m left
3:31:36 PM | RAY: $0.65720000 | PnL: -0.24% | Hold: 178m left
3:31:41 PM | RAY: $0.65720000 | PnL: -0.24% | Hold: 178m left
3:31:46 PM | RAY: $0.65720000 | PnL: -0.24% | Hold: 178m left
3:31:51 PM | RAY: $0.65720000 | PnL: -0.24% | Hold: 178m left
3:31:56 PM | RAY: $0.65810000 | PnL: -0.11% | Hold: 178m left
3:32:01 PM | RAY: $0.65810000 | PnL: -0.11% | Hold: 178m left
3:32:06 PM | RAY: $0.65810000 | PnL: -0.11% | Hold: 178m left
3:32:11 PM | RAY: $0.65810000 | PnL: -0.11% | Hold: 177m left
3:32:17 PM | RAY: $0.65810000 | PnL: -0.11% | Hold: 177m left
3:32:22 PM | RAY: $0.65810000 | PnL: -0.11% | Hold: 177m left
3:32:27 PM | RAY: $0.65810000 | PnL: -0.11% | Hold: 177m left
3:32:32 PM | RAY: $0.65810000 | PnL: -0.11% | Hold: 177m left
3:32:37 PM | RAY: $0.65810000 | PnL: -0.11% | Hold: 177m left
3:32:42 PM | RAY: $0.65810000 | PnL: -0.11% | Hold: 177m left
3:32:47 PM | RAY: $0.65810000 | PnL: -0.11% | Hold: 177m left
3:32:52 PM | RAY: $0.65810000 | PnL: -0.11% | Hold: 177m left
3:32:58 PM | RAY: $0.65720000 | PnL: -0.24% | Hold: 177m left
3:33:03 PM | RAY: $0.65720000 | PnL: -0.24% | Hold: 177m left
3:33:08 PM | RAY: $0.65720000 | PnL: -0.24% | Hold: 177m left
3:33:13 PM | RAY: $0.65720000 | PnL: -0.24% | Hold: 176m left
3:33:18 PM | RAY: $0.65720000 | PnL: -0.24% | Hold: 176m left
3:33:23 PM | RAY: $0.65720000 | PnL: -0.24% | Hold: 176m left
3:33:28 PM | RAY: $0.65720000 | PnL: -0.24% | Hold: 176m left
3:33:34 PM | RAY: $0.65590000 | PnL: -0.44% | Hold: 176m left
3:33:39 PM | RAY: $0.65590000 | PnL: -0.44% | Hold: 176m left
3:33:44 PM | RAY: $0.65590000 | PnL: -0.44% | Hold: 176m left
3:33:49 PM | RAY: $0.65590000 | PnL: -0.44% | Hold: 176m left
3:33:54 PM | RAY: $0.65590000 | PnL: -0.44% | Hold: 176m left
3:33:59 PM | RAY: $0.65590000 | PnL: -0.44% | Hold: 176m left
3:34:04 PM | RAY: $0.65590000 | PnL: -0.44% | Hold: 176m left
3:34:09 PM | RAY: $0.65540000 | PnL: -0.52% | Hold: 175m left
3:34:14 PM | RAY: $0.65540000 | PnL: -0.52% | Hold: 175m left
3:34:19 PM | RAY: $0.65540000 | PnL: -0.52% | Hold: 175m left
3:34:24 PM | RAY: $0.65540000 | PnL: -0.52% | Hold: 175m left
3:34:30 PM | RAY: $0.65540000 | PnL: -0.52% | Hold: 175m left
3:34:35 PM | RAY: $0.65540000 | PnL: -0.52% | Hold: 175m left
3:34:40 PM | RAY: $0.65580000 | PnL: -0.46% | Hold: 175m left
3:34:45 PM | RAY: $0.65580000 | PnL: -0.46% | Hold: 175m left
3:34:50 PM | RAY: $0.65580000 | PnL: -0.46% | Hold: 175m left
3:34:55 PM | RAY: $0.65580000 | PnL: -0.46% | Hold: 175m left
3:35:00 PM | RAY: $0.65580000 | PnL: -0.46% | Hold: 175m left
3:35:05 PM | RAY: $0.65580000 | PnL: -0.46% | Hold: 175m left
3:35:10 PM | RAY: $0.65580000 | PnL: -0.46% | Hold: 174m left
3:35:16 PM | RAY: $0.65640000 | PnL: -0.36% | Hold: 174m left
3:35:21 PM | RAY: $0.65640000 | PnL: -0.36% | Hold: 174m left
3:35:26 PM | RAY: $0.65640000 | PnL: -0.36% | Hold: 174m left
3:35:31 PM | RAY: $0.65640000 | PnL: -0.36% | Hold: 174m left
3:35:36 PM | RAY: $0.65640000 | PnL: -0.36% | Hold: 174m left
3:35:41 PM | RAY: $0.65640000 | PnL: -0.36% | Hold: 174m left
3:35:46 PM | RAY: $0.65640000 | PnL: -0.36% | Hold: 174m left
3:35:51 PM | RAY: $0.65610000 | PnL: -0.41% | Hold: 174m left
3:35:56 PM | RAY: $0.65610000 | PnL: -0.41% | Hold: 174m left
3:36:01 PM | RAY: $0.65610000 | PnL: -0.41% | Hold: 174m left
3:36:06 PM | RAY: $0.65610000 | PnL: -0.41% | Hold: 174m left
3:36:12 PM | RAY: $0.65610000 | PnL: -0.41% | Hold: 173m left
3:36:17 PM | RAY: $0.65610000 | PnL: -0.41% | Hold: 173m left
3:36:22 PM | RAY: $0.65570000 | PnL: -0.47% | Hold: 173m left
3:36:27 PM | RAY: $0.65570000 | PnL: -0.47% | Hold: 173m left
3:36:32 PM | RAY: $0.65570000 | PnL: -0.47% | Hold: 173m left
3:36:37 PM | RAY: $0.65570000 | PnL: -0.47% | Hold: 173m left
3:36:42 PM | RAY: $0.65570000 | PnL: -0.47% | Hold: 173m left
3:36:47 PM | RAY: $0.65570000 | PnL: -0.47% | Hold: 173m left
3:36:52 PM | RAY: $0.65560000 | PnL: -0.49% | Hold: 173m left
3:36:57 PM | RAY: $0.65560000 | PnL: -0.49% | Hold: 173m left
3:37:03 PM | RAY: $0.65560000 | PnL: -0.49% | Hold: 173m left
3:37:08 PM | RAY: $0.65560000 | PnL: -0.49% | Hold: 173m left
3:37:13 PM | RAY: $0.65560000 | PnL: -0.49% | Hold: 172m left
3:37:18 PM | RAY: $0.65560000 | PnL: -0.49% | Hold: 172m left
3:37:23 PM | RAY: $0.65560000 | PnL: -0.49% | Hold: 172m left
3:37:28 PM | RAY: $0.65560000 | PnL: -0.49% | Hold: 172m left
3:37:33 PM | RAY: $0.65560000 | PnL: -0.49% | Hold: 172m left
3:37:39 PM | RAY: $0.65560000 | PnL: -0.49% | Hold: 172m left
