Wallet loaded: EpG25pVadjQ9M9NHJMXZ...
📊 Monitoring SAMO (DYNAMIC TP/SL)...
  SL: $0.00045986
  TP1: $0.00050253 (50% exit)
  TP2: $0.00052011 (final exit)
  Max Hold: 180 min
8:25:09 PM | SAMO: $0.00048920 | PnL: 0.00% | Hold: 179m left
8:25:14 PM | SAMO: $0.00048920 | PnL: 0.00% | Hold: 179m left
8:25:19 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 179m left
8:25:24 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 179m left
8:25:29 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 179m left
8:25:35 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 179m left
8:25:40 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 179m left
8:25:45 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 179m left
8:25:50 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 179m left
8:25:55 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 179m left
8:26:00 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 179m left
8:26:05 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 179m left
8:26:11 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 178m left
8:26:16 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 178m left
8:26:21 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 178m left
8:26:26 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 178m left
8:26:31 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 178m left
8:26:36 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 178m left
8:26:41 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 178m left
8:26:46 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 178m left
8:26:52 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 178m left
8:26:57 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 178m left
8:27:02 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 178m left
8:27:07 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 178m left
8:27:12 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 177m left
8:27:17 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 177m left
8:27:22 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 177m left
8:27:28 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 177m left
8:27:33 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 177m left
8:27:38 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 177m left
8:27:43 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 177m left
8:27:48 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 177m left
8:27:53 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 177m left
8:27:58 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 177m left
8:28:04 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 177m left
8:28:09 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 177m left
8:28:14 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 176m left
8:28:19 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 176m left
8:28:24 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 176m left
8:28:29 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 176m left
8:28:34 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 176m left
8:28:39 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 176m left
8:28:45 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 176m left
8:28:50 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 176m left
8:28:55 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 176m left
8:29:00 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 176m left
8:29:05 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 176m left
8:29:10 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 175m left
8:29:15 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 175m left
8:29:21 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 175m left
8:29:26 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 175m left
8:29:31 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 175m left
8:29:36 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 175m left
8:29:41 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 175m left
8:29:46 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 175m left
8:29:51 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 175m left
8:29:57 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 175m left
8:30:02 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 175m left
8:30:07 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 175m left
8:30:12 PM | SAMO: $0.00049150 | PnL: +0.47% | Hold: 174m left
