Wallet loaded: EpG25pVadjQ9M9NHJMXZ...
📊 Monitoring WIF (6 HOURS MAX HOLD)...
  Entry: $0.22960000
  SL: $0.22592640
  TP1: $0.23786560
  TP2: $0.24199840
  Max Hold: 6 HOURS
8:50:16 PM | WIF: $0.22620000 | PnL: -1.48% | Hold: 5h 59m left
8:50:21 PM | WIF: $0.22620000 | PnL: -1.48% | Hold: 5h 59m left
8:50:26 PM | WIF: $0.22620000 | PnL: -1.48% | Hold: 5h 59m left
8:50:31 PM | WIF: $0.22620000 | PnL: -1.48% | Hold: 5h 59m left
8:50:36 PM | WIF: $0.22620000 | PnL: -1.48% | Hold: 5h 59m left
8:50:41 PM | WIF: $0.22620000 | PnL: -1.48% | Hold: 5h 59m left
8:50:46 PM | WIF: $0.22620000 | PnL: -1.48% | Hold: 5h 59m left
8:50:52 PM | WIF: $0.22620000 | PnL: -1.48% | Hold: 5h 59m left
8:50:57 PM | WIF: $0.22620000 | PnL: -1.48% | Hold: 5h 59m left
8:51:02 PM | WIF: $0.22620000 | PnL: -1.48% | Hold: 5h 59m left
8:51:07 PM | WIF: $0.22610000 | PnL: -1.52% | Hold: 5h 59m left
8:51:12 PM | WIF: $0.22610000 | PnL: -1.52% | Hold: 5h 59m left
8:51:17 PM | WIF: $0.22610000 | PnL: -1.52% | Hold: 5h 58m left
8:51:23 PM | WIF: $0.22610000 | PnL: -1.52% | Hold: 5h 58m left
8:51:28 PM | WIF: $0.22610000 | PnL: -1.52% | Hold: 5h 58m left
8:51:33 PM | WIF: $0.22610000 | PnL: -1.52% | Hold: 5h 58m left
8:51:38 PM | WIF: $0.22610000 | PnL: -1.52% | Hold: 5h 58m left
8:51:43 PM | WIF: $0.22610000 | PnL: -1.52% | Hold: 5h 58m left
8:51:48 PM | WIF: $0.22610000 | PnL: -1.52% | Hold: 5h 58m left
8:51:53 PM | WIF: $0.22610000 | PnL: -1.52% | Hold: 5h 58m left
8:51:59 PM | WIF: $0.22610000 | PnL: -1.52% | Hold: 5h 58m left
8:52:04 PM | WIF: $0.22610000 | PnL: -1.52% | Hold: 5h 58m left
8:52:09 PM | WIF: $0.22630000 | PnL: -1.44% | Hold: 5h 58m left
8:52:15 PM | WIF: $0.22630000 | PnL: -1.44% | Hold: 5h 58m left
8:52:20 PM | WIF: $0.22630000 | PnL: -1.44% | Hold: 5h 57m left
8:52:25 PM | WIF: $0.22630000 | PnL: -1.44% | Hold: 5h 57m left
8:52:30 PM | WIF: $0.22630000 | PnL: -1.44% | Hold: 5h 57m left
8:52:35 PM | WIF: $0.22630000 | PnL: -1.44% | Hold: 5h 57m left
8:52:40 PM | WIF: $0.22630000 | PnL: -1.44% | Hold: 5h 57m left
8:52:45 PM | WIF: $0.22630000 | PnL: -1.44% | Hold: 5h 57m left
8:52:50 PM | WIF: $0.22630000 | PnL: -1.44% | Hold: 5h 57m left
8:52:56 PM | WIF: $0.22630000 | PnL: -1.44% | Hold: 5h 57m left
8:53:01 PM | WIF: $0.22630000 | PnL: -1.44% | Hold: 5h 57m left
8:53:06 PM | WIF: $0.22630000 | PnL: -1.44% | Hold: 5h 57m left
8:53:11 PM | WIF: $0.22630000 | PnL: -1.44% | Hold: 5h 57m left
8:53:16 PM | WIF: $0.22630000 | PnL: -1.44% | Hold: 5h 56m left
8:53:21 PM | WIF: $0.22630000 | PnL: -1.44% | Hold: 5h 56m left
8:53:26 PM | WIF: $0.22630000 | PnL: -1.44% | Hold: 5h 56m left
8:53:32 PM | WIF: $0.22630000 | PnL: -1.44% | Hold: 5h 56m left
8:53:37 PM | WIF: $0.22630000 | PnL: -1.44% | Hold: 5h 56m left
8:53:42 PM | WIF: $0.22650000 | PnL: -1.35% | Hold: 5h 56m left
8:53:47 PM | WIF: $0.22650000 | PnL: -1.35% | Hold: 5h 56m left
8:53:52 PM | WIF: $0.22650000 | PnL: -1.35% | Hold: 5h 56m left
8:53:58 PM | WIF: $0.22650000 | PnL: -1.35% | Hold: 5h 56m left
8:54:03 PM | WIF: $0.22650000 | PnL: -1.35% | Hold: 5h 56m left
8:54:08 PM | WIF: $0.22650000 | PnL: -1.35% | Hold: 5h 56m left
8:54:13 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 56m left
8:54:18 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 55m left
8:54:23 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 55m left
